Array size,CPU computing time,GPU Launcher time,GPU routine (without memory transferences)
1000,1.7E-05,0.071942,2.1E-05
2150,2.9E-05,0.061188,1.6E-05
4640,6.7E-05,0.070467,1.8E-05
10000,0.000156,0.070697,1.6E-05
21500,1E-04,0.060035,2.1E-05
46400,0.000211,0.055627,3.6E-05
100000,0.00045,0.050592,5.3E-05
215000,0.000987,0.063115,0.000125
464000,0.002112,0.053627,0.000291
1000000,0.004561,0.0605,0.000551
2150000,0.009659,0.056751,0.001148
4640000,0.016735,0.066803,0.00221
10000000,0.034105,0.088192,0.004835
21500000,0.072159,0.129571,0.010175
46400000,0.154379,0.221828,0.021914
100000000,0.333892,0.409226,0.047295
215000000,0.709168,0.823057,0.101522
